IVSRV9 | NumVSR,LOCSMQ | Marque,LVSRMO | Modele,CVSRGV | Generation,Carrosserie,LVSRVE | Version1,LVSRE1 | Version2,LVSRE2 | Version3,QVSRC8 | CylindreeArrondie,QVSRDI | PuisDin,Energie,,QVSRF9 | Pfiscale,BoiteVit,,segment,qvsrn9_nbplaces,qvsrdi_puisdin,mindedvsrdx_datedebcom,maxdedvsrfx_datefincom,boitevit_Manuelle,boitevit_Automatique,boitevit_Semi_Automatique,energie_Diesel,energie_Essence,energie_GPL_Essence,energie_Hyb_Ess_Elect,energie_Bio_Carburant_E85,energie_Electrique,energie_GNV_Essence,energie_Hyb_Die_Elect,Nb_DEVIS-1erSEM15,URL PHOTO PAR DEFAUT DU MODELE
70122,AUDI,A3,II,Berline,TDI 140 AMBITION,LUXE DSG,,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
70479,AUDI,A3,II,Berline,102 AMBITION,TIPTRONIC,,1,6,102,Essence,,7,Semi Automatique,,,,,,,,,,,,,,,,,,
70464,AUDI,A3,II,Berline,FSI 115 ATTRACTION,,,1,6,116,Essence,,7,Manuelle,,,,,,,,,,,,,,,,,,
70465,AUDI,A3,II,Berline,TDI 136 ATTRACTION,BV6,,2,136,Diesel,,7,Manuelle,,,,,,,,,,,,,,,,,,,
68924,AUDI,A3,II,Berline,V6 250 QUATTRO,AMBITION LUXE,,3,2,250,Essence,,17,Manuelle,,,,,,,,,,,,,,,,,,
68364,AUDI,A3,II,Berline,FSI 150 AMBITION,TIPTRONIC,,2,150,Essence,,9,Semi Automatique,,,,,,,,,,,,,,,,,,,
70481,AUDI,A3,II,Berline,102 AMBITION LUXE,TIPTRONIC,,1,6,102,Essence,,7,Semi Automatique,,,,,,,,,,,,,,,,,,
68366,AUDI,A3,II,Berline,FSI 150 AMBITION,LUXE TIPTRONIC,,2,150,Essence,,9,Semi Automatique,,,,,,,,,,,,,,,,,,,
70480,AUDI,A3,II,Berline,TDI 136 AMBITION,,,2,136,Diesel,,7,Manuelle,,,,,,,,,,,,,,,,,,,
70476,AUDI,A3,II,Berline,TDI 140 S-LINE DSG,,,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
70477,AUDI,A3,II,Berline,102 AMBIENTE,TIPTRONIC,,1,6,102,Essence,,7,Semi Automatique,,,,,,,,,,,,,,,,,,
70466,AUDI,A3,II,Berline,102 S-LINE 6CV,,,1,6,102,Essence,,6,Manuelle,,,,,,,,,,,,,,,,,,
70467,AUDI,A3,II,Berline,102 S-LINE 7CV,,,1,6,102,Essence,,7,Manuelle,,,,,,,,,,,,,,,,,,
70468,AUDI,A3,II,Berline,102 S-LINE,TIPTRONIC-6,,1,6,102,Essence,,7,Semi Automatique,,,,,,,,,,,,,,,,,,
68365,AUDI,A3,II,Berline,FSI 150 AMBIENTE,TIPTRONIC,,2,150,Essence,,9,Semi Automatique,,,,,,,,,,,,,,,,,,,
70450,AUDI,A3,II,Berline,FSI 115 AMBIENTE,,,1,6,116,Essence,,7,Manuelle,,,,,,,,,,,,,,,,,,
70472,AUDI,A3,II,Berline,V6 250 QUATTRO,S-LINE,,3,2,250,Essence,,17,Manuelle,,,,,,,,,,,,,,,,,,
70478,AUDI,A3,II,Berline,TDI 136 AMBIENTE BV6,,,2,136,Diesel,,7,Manuelle,,,,,,,,,,,,,,,,,,,
70474,AUDI,A3,II,Berline,TDI 105 S-LINE,,,1,9,105,Diesel,,6,Manuelle,,,,,,,,,,,,,,,,,,
70475,AUDI,A3,II,Berline,TDI 140 S-LINE,,,2,140,Diesel,,8,Manuelle,,,,,,,,,,,,,,,,,,,
70118,AUDI,A3,II,Berline,V6 250 QUATTRO DSG,AMBITION LUXE,,3,2,250,Essence,,17,Semi Automatique,,,,,,,,,,,,,,,,,,
70473,AUDI,A3,II,Berline,V6 250 QUATTRO DSG,S-LINE,,3,2,250,Essence,,17,Semi Automatique,,,,,,,,,,,,,,,,,,
70449,AUDI,A3,II,Berline,FSI 115 AMBITION,,,1,6,116,Essence,,7,Manuelle,,,,,,,,,,,,,,,,,,
70120,AUDI,A3,II,Berline,TDI 140 AMBIENTE DSG,,,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
67949,AUDI,A3,II,Berline,V6 250 QUATTRO,AMBITION,,3,2,250,Essence,,17,Manuelle,,,,,,,,,,,,,,,,,,
70471,AUDI,A3,II,Berline,FSI 150 S-LINE,TIPTRONIC,,2,150,Essence,,9,Semi Automatique,,,,,,,,,,,,,,,,,,,
70470,AUDI,A3,II,Berline,FSI 150 S-LINE,,,2,150,Essence,,9,Manuelle,,,,,,,,,,,,,,,,,,,
70469,AUDI,A3,II,Berline,FSI 115 S-LINE,,,1,6,116,Essence,,7,Manuelle,,,,,,,,,,,,,,,,,,
70121,AUDI,A3,II,Berline,TDI 140 AMBITION DSG,,,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
70482,AUDI,A3,II,Berline,TDI 136 AMBITION,LUXE,,2,136,Diesel,,7,Manuelle,,,,,,,,,,,,,,,,,,,
70116,AUDI,A3,II,Berline,V6 250 QUATTRO DSG,AMBITION,,3,2,250,Essence,,17,Semi Automatique,,,,,,,,,,,,,,,,,,
74013,AUDI,A3,II,Berline,FSI 150 SPORTBACK,AMBITION TIPTRONIC,,2,150,Essence,,9,Semi Automatique,,,,,,,,,,,,,,,,,,,
74025,AUDI,A3,II,Berline,TDI 140 SPORTBACK,AMBITION DSG,,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
74023,AUDI,A3,II,Berline,TDI 140 SPORTBACK,AMBITION,,2,140,Diesel,,8,Manuelle,,,,,,,,,,,,,,,,,,,
73893,AUDI,A3,II,Berline,TDI 105 SPORTBACK,AMBIENTE,,1,9,105,Diesel,,6,Manuelle,,,,,,,,,,,,,,,,,,
74010,AUDI,A3,II,Berline,102 SPORTBACK,AMBITION TIPTRONIC,,1,6,102,Essence,,7,Semi Automatique,,,,,,,,,,,,,,,,,,
74014,AUDI,A3,II,Berline,TFSI 200 SPORTBACK,QUATTRO AMBITION,,2,200,Essence,,13,Manuelle,,,,,,,,,,,,,,,,,,,
74019,AUDI,A3,II,Berline,V6 250 SPORTBACK,QUATT AMBITION DSG,,3,2,250,Essence,,17,Semi Automatique,,,,,,,,,,,,,,,,,,
73892,AUDI,A3,II,Berline,TDI 140 SPORTBACK,AMBIENTE,,2,140,Diesel,,8,Manuelle,,,,,,,,,,,,,,,,,,,
73886,AUDI,A3,II,Berline,TDI 105 SPORTBACK,ATTRACTION,,1,9,105,Diesel,,6,Manuelle,,,,,,,,,,,,,,,,,,
74018,AUDI,A3,II,Berline,V6 250 SPORTBACK,QUATT AMBITION,,3,2,250,Essence,,17,Manuelle,,,,,,,,,,,,,,,,,,
74015,AUDI,A3,II,Berline,TFSI 200 SPORTBACK,DSG AMBITION,,2,200,Essence,,12,Semi Automatique,,,,,,,,,,,,,,,,,,,
73894,AUDI,A3,II,Berline,TDI 105 SPORTBACK,AMBITION,,1,9,105,Diesel,,6,Manuelle,,,,,,,,,,,,,,,,,,
